time_1,Nylon,time_2,Nylon,time_3,Nylon,time_4,Nylon,time_5,Cellulose,time_6,Cellulose,time_7,Cellulose,time_8,Cellulose,time_9,Polyimide,time_10,Polyimide,time_11,Polyimide,time_12,Polyimide,time_13,PET,time_14,PET,time_15,PET,time_16,PET
114, 178481.2, 114, 242488.2, 114, 1151650.0, 114, 401719.3, 114, 426299.5, 114, 307148.5, 114, 199468.6, 114, 368534.4, 114, 277013.2, 114, 330836.9, 114, 266300.3, 114, 373634.8, 114, 276503.3, 114, 357304.7, 114, 411089.7, 114, 266467.8
116, 178415.7, 116, 242338.5, 116, 1151645.0, 116, 401655.5, 116, 426259.4, 116, 307161.1, 116, 199463.5, 116, 368464.9, 116, 277013.0, 116, 330782.2, 116, 266340.4, 116, 373634.0, 116, 276482.9, 116, 357293.6, 116, 411077.8, 116, 266477.3
118, 178405.4, 118, 242330.0, 118, 1151692.0, 118, 401703.6, 118, 426257.6, 118, 307271.3, 118, 199502.4, 118, 368556.6, 118, 277059.4, 118, 330838.5, 118, 266343.9, 118, 373646.3, 118, 276479.5, 118, 357353.8, 118, 411043.9, 118, 266487.7
120, 178380.8, 120, 242341.2, 120, 1151734.0, 120, 401733.7, 120, 426280.0, 120, 307220.2, 120, 199463.1, 120, 368472.9, 120, 276947.0, 120, 330785.6, 120, 266375.1, 120, 373651.9, 120, 276409.6, 120, 357380.9, 120, 411097.9, 120, 266486.0
122, 178339.9, 122, 242302.0, 122, 1151602.0, 122, 401699.4, 122, 426311.8, 122, 307258.0, 122, 199550.9, 122, 368474.1, 122, 277016.0, 122, 330835.3, 122, 266454.0, 122, 373649.8, 122, 276494.1, 122, 357380.1, 122, 411077.7, 122, 266512.0
124, 178373.4, 124, 242276.0, 124, 1151639.0, 124, 401731.0, 124, 426282.9, 124, 307295.8, 124, 199509.4, 124, 368446.7, 124, 276968.7, 124, 330763.7, 124, 266440.8, 124, 373658.3, 124, 276477.1, 124, 357371.6, 124, 411126.3, 124, 266512.7
126, 178417.8, 126, 242339.6, 126, 1151720.0, 126, 401771.0, 126, 426267.8, 126, 307265.5, 126, 199482.6, 126, 368501.7, 126, 276967.3, 126, 330898.5, 126, 266401.2, 126, 373709.9, 126, 276522.3, 126, 357420.5, 126, 411140.2, 126, 266496.1
128, 178459.9, 128, 242377.8, 128, 1151718.0, 128, 401783.3, 128, 426215.2, 128, 307304.5, 128, 199472.2, 128, 368486.1, 128, 277003.8, 128, 330888.7, 128, 266387.1, 128, 373696.7, 128, 276491.9, 128, 357394.2, 128, 411210.2, 128, 266532.1
130, 178439.8, 130, 242331.0, 130, 1151651.0, 130, 401846.2, 130, 426290.8, 130, 307290.7, 130, 199450.1, 130, 368517.1, 130, 276948.4, 130, 330902.8, 130, 266333.4, 130, 373696.4, 130, 276507.9, 130, 357320.5, 130, 411210.6, 130, 266535.2
132, 178417.0, 132, 242397.7, 132, 1151622.0, 132, 401780.0, 132, 426258.4, 132, 307244.8, 132, 199526.4, 132, 368514.5, 132, 277022.4, 132, 330927.5, 132, 266329.0, 132, 373656.9, 132, 276490.3, 132, 357296.9, 132, 411234.0, 132, 266533.4
134, 178464.1, 134, 242313.0, 134, 1151639.0, 134, 401831.3, 134, 426264.7, 134, 307236.6, 134, 199450.0, 134, 368555.3, 134, 276968.5, 134, 330877.2, 134, 266388.6, 134, 373715.2, 134, 276511.4, 134, 357398.5, 134, 411155.5, 134, 266534.2
136, 178409.4, 136, 242314.3, 136, 1151668.0, 136, 401761.7, 136, 426252.4, 136, 307298.1, 136, 199432.3, 136, 368530.1, 136, 276962.4, 136, 330867.0, 136, 266332.3, 136, 373679.2, 136, 276522.9, 136, 357385.5, 136, 411110.1, 136, 266540.8
138, 178432.3, 138, 242298.1, 138, 1151638.0, 138, 401783.4, 138, 426226.5, 138, 307206.6, 138, 199440.7, 138, 368476.7, 138, 276972.0, 138, 330840.9, 138, 266413.1, 138, 373671.6, 138, 276491.5, 138, 357420.3, 138, 411121.0, 138, 266534.6
140, 178447.7, 140, 242317.4, 140, 1151648.0, 140, 401703.0, 140, 426193.9, 140, 307177.4, 140, 199483.7, 140, 368500.4, 140, 276932.9, 140, 330848.7, 140, 266402.0, 140, 373674.9, 140, 276432.2, 140, 357335.3, 140, 411133.3, 140, 266462.0
142, 178417.8, 142, 242314.3, 142, 1151625.0, 142, 401762.9, 142, 426260.1, 142, 307261.7, 142, 199460.5, 142, 368460.5, 142, 277037.6, 142, 330815.4, 142, 266389.6, 142, 373611.3, 142, 276429.7, 142, 357399.7, 142, 411023.6, 142, 266529.5
144, 178389.3, 144, 242273.6, 144, 1151604.0, 144, 401713.0, 144, 426216.2, 144, 307207.1, 144, 199479.4, 144, 368461.0, 144, 277001.3, 144, 330887.9, 144, 266406.8, 144, 373628.5, 144, 276454.6, 144, 357407.8, 144, 411050.4, 144, 266484.6
146, 178353.1, 146, 242267.4, 146, 1151619.0, 146, 401726.9, 146, 426235.5, 146, 307293.9, 146, 199437.2, 146, 368451.0, 146, 276963.3, 146, 330789.9, 146, 266385.2, 146, 373709.2, 146, 276463.6, 146, 357402.0, 146, 411015.2, 146, 266472.3
148, 178424.5, 148, 242270.4, 148, 1151590.0, 148, 401689.4, 148, 426186.1, 148, 307286.3, 148, 199460.0, 148, 368400.1, 148, 277047.2, 148, 330805.5, 148, 266501.9, 148, 373701.5, 148, 276437.0, 148, 357394.6, 148, 411098.1, 148, 266448.6
150, 178417.5, 150, 242251.6, 150, 1151612.0, 150, 401702.4, 150, 426189.8, 150, 307264.7, 150, 199548.7, 150, 368410.8, 150, 277030.5, 150, 330791.5, 150, 266466.5, 150, 373659.9, 150, 276446.3, 150, 357362.3, 150, 411087.3, 150, 266493.5
152, 178316.5, 152, 242227.0, 152, 1151583.0, 152, 401739.9, 152, 426187.9, 152, 307297.8, 152, 199465.7, 152, 368464.8, 152, 276991.4, 152, 330788.5, 152, 266389.8, 152, 373639.3, 152, 276392.1, 152, 357403.2, 152, 411097.1, 152, 266460.4
154, 178364.8, 154, 242248.6, 154, 1151544.0, 154, 401694.1, 154, 426126.8, 154, 307249.4, 154, 199493.5, 154, 368412.8, 154, 277035.3, 154, 330741.0, 154, 266439.4, 154, 373672.5, 154, 276446.1, 154, 357429.1, 154, 411061.7, 154, 266486.0
156, 178359.1, 156, 242250.7, 156, 1151590.0, 156, 401754.3, 156, 426233.1, 156, 307285.8, 156, 199468.7, 156, 368349.8, 156, 276967.3, 156, 330729.1, 156, 266411.2, 156, 373668.2, 156, 276473.0, 156, 357373.2, 156, 411110.1, 156, 266459.5
158, 178412.2, 158, 242224.9, 158, 1151595.0, 158, 401701.6, 158, 426128.6, 158, 307229.8, 158, 199499.7, 158, 368454.4, 158, 277085.9, 158, 330749.7, 158, 266503.2, 158, 373669.7, 158, 276440.2, 158, 357366.8, 158, 411019.1, 158, 266522.6
160, 178406.3, 160, 242281.6, 160, 1151658.0, 160, 401711.8, 160, 426157.8, 160, 307266.8, 160, 199508.5, 160, 368388.1, 160, 276993.8, 160, 330841.1, 160, 266562.3, 160, 373663.9, 160, 276498.0, 160, 357388.7, 160, 411115.5, 160, 266517.9
162, 178399.5, 162, 242281.1, 162, 1151642.0, 162, 401798.5, 162, 426188.0, 162, 307286.3, 162, 199473.1, 162, 368446.4, 162, 276975.8, 162, 330906.8, 162, 266392.6, 162, 373706.1, 162, 276502.1, 162, 357378.1, 162, 411234.6, 162, 266536.1
164, 178376.2, 164, 242311.3, 164, 1151611.0, 164, 401893.1, 164, 426230.4, 164, 307371.5, 164, 199476.1, 164, 368493.8, 164, 276940.2, 164, 330994.4, 164, 266336.1, 164, 373700.6, 164, 276522.6, 164, 357380.6, 164, 411328.1, 164, 266551.6
