time 1,PLA_1, time 2,PLA_2,time 3,PLA_3, time 4,PLA_4,time 5 ,PCL_1, time 6,PCL_2,time 7,PCL_3, time 8,PCL_4,time 9 ,PBA_1, time 10,PBA_2,time 11,PBA_3, time 12,PBA_4,time 13 ,Borosilicate_1, time 14,Borosilicate_2,time 15,Cellulose_1, time 16,Cellulose_2
62, 179186.9, 62, 242950.8, 62, 1151873.0, 62, 402367.5, 62, 427125.6, 62, 308204.7, 62, 200714.5, 62, 368706.2, 62, 276687.4, 62, 330508.1, 62, 266523.8, 62, 373535.6, 62, 276287.0, 62, 357475.4, 62, 411809.9, 62, 266491.9
64, 179179.6, 64, 242914.2, 64, 1151903.0, 64, 402355.5, 64, 427103.5, 64, 308205.5, 64, 200726.3, 64, 368655.3, 64, 276628.3, 64, 330463.3, 64, 266547.9, 64, 373542.6, 64, 276301.6, 64, 357471.8, 64, 411719.1, 64, 266492.3
66, 179175.1, 66, 242864.9, 66, 1151848.0, 66, 402305.3, 66, 427090.8, 66, 308165.9, 66, 200706.2, 66, 368644.0, 66, 276596.5, 66, 330480.6, 66, 266560.0, 66, 373490.2, 66, 276266.1, 66, 357526.5, 66, 411762.6, 66, 266439.3
68, 179174.9, 68, 242860.1, 68, 1151929.0, 68, 402288.1, 68, 427083.3, 68, 308143.5, 68, 200684.3, 68, 368627.0, 68, 276691.6, 68, 330444.5, 68, 266557.7, 68, 373555.9, 68, 276274.6, 68, 357483.5, 68, 411709.1, 68, 266457.1
70, 179118.2, 70, 242859.8, 70, 1151812.0, 70, 402310.1, 70, 427034.5, 70, 308204.5, 70, 200689.8, 70, 368673.1, 70, 276574.6, 70, 330424.2, 70, 266601.4, 70, 373469.4, 70, 276225.7, 70, 357460.4, 70, 411627.3, 70, 266418.9
72, 179119.1, 72, 242845.2, 72, 1151865.0, 72, 402342.4, 72, 427061.2, 72, 308194.7, 72, 200692.5, 72, 368600.7, 72, 276645.2, 72, 330374.8, 72, 266638.7, 72, 373556.9, 72, 276244.0, 72, 357503.4, 72, 411678.6, 72, 266484.8
74, 179122.5, 74, 242790.0, 74, 1151867.0, 74, 402286.3, 74, 427058.4, 74, 308168.9, 74, 200699.7, 74, 368587.0, 74, 276597.9, 74, 330359.5, 74, 266632.0, 74, 373552.1, 74, 276212.5, 74, 357539.1, 74, 411676.3, 74, 266445.9
76, 179035.8, 76, 242801.9, 76, 1151816.0, 76, 402322.7, 76, 426995.9, 76, 308244.6, 76, 200712.5, 76, 368600.7, 76, 276557.6, 76, 330388.9, 76, 266598.8, 76, 373480.7, 76, 276209.2, 76, 357454.0, 76, 411737.6, 76, 266464.0
78, 179096.6, 78, 242861.8, 78, 1151828.0, 78, 402287.3, 78, 427027.0, 78, 308198.6, 78, 200685.3, 78, 368571.5, 78, 276625.5, 78, 330388.0, 78, 266587.1, 78, 373514.8, 78, 276202.8, 78, 357484.6, 78, 411729.0, 78, 266417.1
80, 179077.4, 80, 242793.2, 80, 1151882.0, 80, 402262.4, 80, 426975.1, 80, 308146.6, 80, 200701.2, 80, 368527.5, 80, 276570.7, 80, 330381.5, 80, 266611.6, 80, 373499.6, 80, 276185.7, 80, 357501.9, 80, 411609.2, 80, 266438.5
