time_1,Nylon_1,time_2,Nylon_2,time_3,Nylon_3,time_4,Nylon_4,time_5,Cellulose_1,time_6,Cellulose_2,time_7,Cellulose_3,time_8,Cellulose_4,time_9,Polyimide_1,time_10,Polyimide_2,time_11,Polyimide_3,time_12,Polyimide_4,time_13,PET_1,time_14,PET_2,time_15,PET_3,time_16,PET_4
148, 168209.6, 148, 232521.0, 148, 1144232.0, 148, 391826.2, 148, 415714.8, 148, 296307.7, 148, 189062.9, 148, 357918.5, 148, 274010.5, 148, 328007.5, 148, 262711.1, 148, 371136.3, 148, 275454.4, 148, 362885.7, 148, 409528.7, 148, 258116.9
150, 168284.9, 150, 232532.8, 150, 1144222.0, 150, 391848.0, 150, 415765.1, 150, 296336.3, 150, 189056.5, 150, 357924.9, 150, 273970.1, 150, 328023.5, 150, 262706.4, 150, 371157.5, 150, 275450.1, 150, 362879.9, 150, 409635.9, 150, 258170.8
152, 168255.7, 152, 232497.9, 152, 1144167.0, 152, 391881.5, 152, 415724.4, 152, 296351.4, 152, 189014.0, 152, 357942.0, 152, 273935.5, 152, 327962.4, 152, 262723.1, 152, 371163.9, 152, 275462.7, 152, 362851.0, 152, 409570.4, 152, 258112.8
154, 168360.3, 154, 232522.2, 154, 1144263.0, 154, 391798.2, 154, 415754.4, 154, 296300.0, 154, 189081.6, 154, 357898.3, 154, 273965.9, 154, 327995.8, 154, 262775.0, 154, 371153.1, 154, 275446.4, 154, 362859.2, 154, 409501.7, 154, 258119.1
156, 168346.0, 156, 232479.2, 156, 1144184.0, 156, 391775.8, 156, 415720.1, 156, 296218.7, 156, 189052.0, 156, 357918.8, 156, 274022.5, 156, 328045.6, 156, 262708.9, 156, 371148.7, 156, 275442.7, 156, 362905.0, 156, 409470.1, 156, 258151.9
158, 168270.7, 158, 232529.5, 158, 1144238.0, 158, 391801.9, 158, 415719.7, 158, 296318.0, 158, 189026.2, 158, 357899.1, 158, 274008.8, 158, 327918.9, 158, 262661.6, 158, 371200.6, 158, 275509.0, 158, 362820.7, 158, 409470.1, 158, 258141.3
160, 168293.0, 160, 232493.0, 160, 1144116.0, 160, 391712.6, 160, 415739.6, 160, 296246.4, 160, 188981.5, 160, 357844.0, 160, 273957.0, 160, 327964.7, 160, 262737.3, 160, 371162.5, 160, 275476.9, 160, 362880.3, 160, 409480.5, 160, 258119.7
162, 168275.9, 162, 232456.1, 162, 1144190.0, 162, 391730.5, 162, 415641.7, 162, 296224.7, 162, 189020.5, 162, 357845.0, 162, 274014.1, 162, 327917.0, 162, 262818.9, 162, 371148.6, 162, 275427.9, 162, 362877.3, 162, 409462.7, 162, 258149.6
164, 168302.8, 164, 232426.4, 164, 1144170.0, 164, 391718.1, 164, 415735.3, 164, 296341.2, 164, 189018.0, 164, 357877.1, 164, 274009.8, 164, 327892.1, 164, 262748.1, 164, 371151.1, 164, 275381.6, 164, 362910.5, 164, 409420.6, 164, 258095.8
166, 168295.7, 166, 232493.6, 166, 1144194.0, 166, 391773.1, 166, 415689.3, 166, 296313.1, 166, 189054.2, 166, 357786.9, 166, 273991.0, 166, 327884.7, 166, 262843.9, 166, 371185.4, 166, 275465.7, 166, 362866.5, 166, 409481.9, 166, 258119.8
